Year,Brand,Model,Mileage,Engine Size,Fuel Type,Transmission,Price
2017,2,20,149716,2.3,1,2,18223.68
2010,5,3,116163,3.4,1,1,15333.34
2018,3,13,90546,4.1,3,1,25687.47
2018,5,3,176672,1.7,2,1,15044.28
2007,1,7,214004,3.2,3,1,9084.98
2020,4,15,122521,2.8,4,1,18257.13
2001,3,11,141439,2.0,2,1,5000.0
2013,4,4,41438,3.0,2,2,15701.48
2008,4,8,278517,2.8,2,2,5000.0
2003,5,10,187627,3.0,2,2,12810.64
2020,4,8,277341,2.6,1,1,7304.89
2023,5,10,191069,3.2,1,1,24758.07
2011,1,7,107143,2.1,1,2,12524.51
2013,4,4,36001,1.9,3,1,20670.97
2007,4,8,60378,2.2,2,2,6600.66
2001,4,4,113888,2.3,3,2,5000.0
2017,2,20,203158,4.4,2,2,23477.92
2000,2,1,252128,5.3,1,2,5000.0
2008,4,4,127928,2.9,2,1,5000.0
2011,4,8,219315,2.0,4,1,5000.0
2006,1,17,280890,3.9,4,1,5000.0
2022,1,18,234456,5.2,4,2,18034.24
2009,2,20,128620,4.0,2,2,21029.93
2019,5,3,181147,3.3,3,1,29930.29
2015,2,1,191240,4.0,2,2,23357.95
2019,3,11,35796,2.3,2,2,23160.14
2023,5,3,219968,4.6,4,1,26269.19
2008,4,15,227197,1.2,1,2,5000.0
2015,5,5,90938,1.8,3,1,27573.85
2016,2,2,106943,1.7,1,1,19065.69
2007,5,10,32355,2.6,4,2,21879.77
2020,4,6,225554,5.6,4,2,19397.29
2008,4,6,36851,2.8,1,1,12077.76
2002,3,11,169155,3.8,4,2,5995.78
2008,1,17,24986,2.9,3,2,16009.61
2023,1,9,40245,1.1,1,2,23737.72
2018,5,3,260784,4.1,2,2,21131.74
2007,4,4,270869,2.2,3,2,5000.0
2020,1,17,269329,3.8,4,2,15849.38
2015,1,9,112510,1.7,1,1,10617.74
2004,2,19,284371,4.7,4,1,11362.55
2011,2,1,92670,3.5,3,2,31051.52
2005,2,19,47722,4.8,4,2,25619.76
2020,3,16,174199,3.3,2,2,16712.07
2004,4,4,11214,2.2,4,1,5000.0
2004,4,15,170966,1.3,3,1,5000.0
2007,4,4,212964,1.5,2,2,5000.0
2010,3,11,154467,2.4,3,2,14842.84
2009,5,3,121485,5.6,4,2,21923.49
2020,2,2,15666,5.4,4,1,35160.77
2001,5,14,160509,2.6,3,2,10669.38
2011,2,1,286183,1.8,4,2,16241.4
2000,4,8,110595,2.2,2,1,5000.0
2015,1,9,54800,1.6,3,1,14544.55
2010,1,7,28500,5.1,4,2,25713.83
2007,3,11,17068,2.4,1,1,11401.71
2004,1,18,289611,5.9,4,2,5119.88
2019,2,2,126724,4.7,1,1,32142.17
2023,1,18,174743,5.4,1,1,17097.46
2021,3,12,36622,5.3,1,2,28141.42
2009,1,17,263744,3.5,2,2,5282.99
2006,5,14,43972,4.0,1,1,16113.9
2004,1,18,11446,3.7,1,2,12224.7
2021,3,13,123607,5.4,2,2,21109.62
2014,1,7,262915,4.4,3,2,15806.7
2005,1,7,232143,2.7,1,1,5000.0
2015,2,19,152721,2.9,1,1,17080.56
2010,1,7,197204,5.0,1,1,5000.0
2005,1,18,82429,1.4,1,2,5000.0
2021,2,20,205942,3.3,3,1,30868.97
2014,1,17,280647,5.4,1,1,9001.07
2018,1,9,263515,3.2,1,1,7695.74
2005,5,14,258428,5.2,4,2,15875.59
2009,3,16,111709,5.2,4,1,15648.47
2016,3,12,208651,5.5,4,2,19022.98
2013,4,6,277904,2.6,1,1,5113.47
2017,2,2,181027,3.4,3,1,29834.27
2012,5,14,77922,1.6,2,1,14426.33
2013,4,15,190734,3.3,1,1,5000.0
2003,1,7,118545,4.2,2,2,5000.0
2002,2,1,299692,5.4,2,1,5000.0
2015,2,2,119722,4.1,4,1,27904.6
2022,5,5,70767,5.5,1,1,41373.48
2002,2,19,18068,2.7,2,2,17718.97
2014,4,8,273489,4.2,2,2,12662.13
2005,5,10,286500,5.4,1,1,8443.81
2012,5,3,194606,5.1,2,2,20432.89
2017,5,5,133359,1.7,4,1,26188.11
2012,4,8,186719,1.1,1,1,5000.0
2020,1,18,216820,5.6,1,2,24023.29
2021,1,17,284416,4.2,4,2,21225.34
2009,2,2,87201,4.2,4,1,26958.07
2004,3,11,162664,1.6,4,1,5000.0
2011,3,13,243921,4.0,2,1,5000.0
2022,2,2,195753,3.9,2,2,31980.79
2019,5,14,204595,3.6,3,1,31849.49
2008,1,7,230394,2.4,1,2,5000.0
2011,4,8,37348,1.8,1,1,5000.0
2004,4,8,239511,3.8,2,2,5000.0
2015,4,15,237449,2.1,4,1,11619.25
2005,4,6,149416,5.4,2,1,8811.11
2004,1,9,114143,4.1,3,1,8703.81
2021,3,12,153684,2.9,3,1,22270.02
2001,2,20,29425,4.6,4,1,23580.84
2017,1,17,143994,1.9,1,1,12237.78
2022,2,2,265503,5.1,1,1,30812.46
2014,4,6,96328,4.4,3,2,18552.58
2023,4,4,123959,2.5,4,1,22152.66
2007,4,6,122258,2.3,3,1,6573.38
2014,1,7,99101,5.6,1,2,20967.55
2017,4,8,178666,1.9,3,2,11523.1
2003,3,11,254919,5.6,4,2,5000.0
2022,5,3,267852,2.3,4,1,18915.48
2010,3,12,213266,2.7,3,1,8003.23
2017,3,16,261417,5.0,4,1,17623.29
2008,4,8,161050,1.9,1,2,5391.47
2002,5,14,54135,1.7,3,2,21676.08
2003,2,2,13862,2.0,1,1,12213.12
2011,3,13,250968,5.6,3,1,13535.99
2010,3,11,99197,4.6,1,1,9303.87
2005,1,7,123268,3.0,1,2,8534.99
2015,2,20,210688,2.9,1,1,18355.99
2016,5,10,175851,1.4,2,1,17688.55
2011,4,8,109084,6.0,1,1,12637.02
2009,5,14,211349,4.8,3,2,21986.69
2013,1,17,215536,4.9,1,1,5000.0
2023,3,11,150603,3.5,2,1,23314.79
2020,1,18,63225,2.7,3,1,22862.25
2013,3,16,169235,5.3,3,2,18110.32
2003,1,18,254476,4.4,2,2,5000.0
2012,4,6,274868,1.1,4,2,5000.0
2004,3,12,221257,4.7,1,1,5000.0
2002,3,12,239651,4.7,1,2,5000.0
2001,2,2,285616,3.5,2,2,7606.09
2004,5,3,175703,4.0,2,2,11452.39
2022,5,14,263206,2.4,2,1,20531.3
2016,5,5,74158,4.4,3,2,36078.04
2021,4,6,227129,5.4,3,1,23739.92
2009,4,4,183749,2.7,1,2,5000.0
2008,2,1,99907,1.3,2,1,12872.09
2017,4,4,190156,3.9,2,1,7558.44
2004,1,9,242293,1.1,3,1,5000.0
2016,1,9,286479,4.2,4,1,13536.18
2023,2,19,206199,4.7,3,2,39580.04
2003,4,4,170862,2.6,4,1,5000.0
2009,2,19,95962,3.8,2,2,23425.67
2002,2,19,91272,2.3,2,1,13221.0
2022,1,17,52529,1.4,2,1,22743.68
2001,4,6,285338,5.4,2,2,5000.0
2008,4,6,279418,5.3,4,2,10820.8
2002,2,1,100454,3.5,3,2,14866.36
2003,1,17,107084,4.7,4,1,6971.26
2011,3,12,198685,3.4,2,1,8122.89
2003,5,5,228101,4.9,3,2,17655.13
2002,4,4,236987,1.5,2,2,5000.0
2003,2,19,37495,3.2,3,2,25792.41
2000,5,14,192834,5.6,3,1,12019.53
2014,4,15,297852,5.2,1,1,5000.0
2007,2,20,50824,2.0,2,2,14981.4
2007,4,6,183045,2.1,2,1,5000.0
2014,1,18,58160,2.4,3,2,17238.48
2004,1,17,221109,3.8,2,1,5000.0
2020,3,13,279784,5.7,2,2,19376.82
2019,2,1,241803,3.8,4,2,26268.38
2018,1,9,202045,1.8,3,2,14988.95
2013,4,4,1891,2.7,1,2,19480.78
2009,5,3,268914,3.4,1,2,7322.21
2004,4,8,256970,3.0,3,2,5000.0
2012,5,14,61382,5.4,3,2,35429.95
2009,5,3,1710,2.7,2,1,20683.78
2006,2,20,216278,3.3,4,1,8166.29
2008,2,1,73026,2.8,1,2,19279.77
2016,1,18,40450,2.1,2,2,12397.47
2010,1,17,174685,5.8,4,2,14809.21
2006,4,8,158467,3.5,2,1,5135.62
2020,5,5,266794,4.0,3,2,33426.11
2001,4,6,206641,4.8,2,2,5000.0
2013,3,11,133667,3.0,4,1,16753.65
2020,1,7,177014,5.5,2,1,23787.2
2003,3,12,57722,1.6,4,2,5590.59
2023,4,6,282957,5.9,4,2,26007.15
2001,1,9,156626,4.2,2,2,5000.0
2014,5,3,150703,3.7,4,2,30422.72
2018,1,17,54786,5.1,1,1,17570.22
2023,4,4,121186,3.1,4,1,21185.41
2009,3,16,286669,2.9,4,1,5000.0
2013,1,18,216762,3.1,1,2,5118.35
2019,4,4,195869,1.6,3,1,10817.88
2001,3,16,51936,5.3,2,2,5474.79
2012,4,4,223175,2.6,3,1,10906.31
2021,4,6,116549,1.4,3,1,15042.42
2012,3,12,142782,2.1,3,1,7222.11
2021,2,20,254865,2.1,1,2,21210.13
2006,5,10,22963,3.7,3,2,30241.19
2004,5,10,147373,4.5,3,1,20307.9
2000,2,2,187341,3.7,4,2,5942.61
2000,4,6,299045,5.2,2,2,5000.0
2015,1,9,16708,5.7,2,2,26793.53
2010,5,14,277395,5.2,1,1,12336.01
2015,2,2,32146,3.4,1,2,27510.67
2021,3,13,95710,3.9,4,1,25268.69
2015,5,5,124132,2.2,2,1,23391.59
2023,2,20,223361,5.8,1,2,35599.68
2008,5,14,207327,5.9,2,2,15531.66
2006,5,5,252590,3.1,2,1,5000.0
2009,2,19,29713,1.2,2,2,14384.52
2014,5,5,18689,3.4,2,1,28141.71
2011,4,8,148389,5.8,1,1,11979.66
2023,4,6,121699,3.1,1,2,20136.19
2016,4,8,215682,4.5,2,2,16010.86
2011,1,9,217728,1.6,1,2,5000.0
2015,3,13,13869,1.7,4,2,19402.41
2002,5,5,204250,1.4,3,1,5000.0
2023,3,16,70653,5.2,2,1,28567.86
2014,5,14,34424,2.7,1,2,26731.83
2006,3,13,211839,3.7,2,1,5000.0
2022,1,7,164158,3.8,4,1,24677.01
2019,1,7,229384,3.5,1,2,14845.48
2021,3,12,277529,2.2,2,2,10895.11
2021,2,20,96236,3.9,3,1,40692.46
2007,2,20,261345,3.3,3,1,9960.98
2014,5,3,74390,5.5,4,2,32413.61
2000,5,5,266002,1.6,2,2,5000.0
2004,4,8,278998,2.5,2,2,5000.0
2005,4,4,89790,3.0,4,2,11429.99
2003,2,20,232788,3.5,3,1,10336.7
2018,3,16,110202,5.0,4,1,25170.66
2007,2,20,288580,1.5,1,1,5000.0
2015,3,11,285700,1.9,2,2,5000.0
2015,4,15,162061,1.7,4,1,13321.51
2019,4,4,88193,5.3,2,2,25143.46
2009,5,5,4074,1.5,1,2,17382.19
2007,5,14,269314,5.3,1,2,12439.78
2015,2,20,253148,5.4,3,1,23171.49
2002,3,16,278599,1.5,1,1,5000.0
2018,2,2,115408,3.4,1,2,25633.19
2018,2,20,266585,4.4,2,2,22285.5
2019,3,13,159367,3.7,3,1,18672.06
2012,4,8,272206,3.7,1,1,5000.0
2003,3,16,234890,2.4,1,2,5000.0
2011,1,9,120636,4.3,3,1,11564.02
2004,4,15,22667,5.2,4,2,13865.59
2006,3,11,239098,5.9,4,2,10052.0
2007,4,6,137441,4.8,3,1,14279.62
2006,4,4,85060,1.0,4,2,5000.0
2004,1,9,274085,3.1,2,2,5000.0
2022,1,9,245651,5.9,1,1,21183.27
2018,1,9,114543,5.2,2,1,18609.79
2010,4,15,121303,4.2,4,2,10982.98
2004,5,14,273457,2.2,4,1,9508.8
2017,5,3,49197,1.1,3,1,32719.37
2018,5,3,233626,3.6,3,2,27108.81
2007,5,14,199971,1.0,4,2,7294.92
2002,4,8,227026,5.4,3,2,5000.0
2007,5,3,130669,1.9,3,2,20057.21
2002,4,4,182083,4.2,1,1,5000.0
2019,2,2,33198,1.9,4,2,33739.86
2018,3,12,283645,5.3,3,2,21501.69
2000,4,4,67295,3.5,3,2,6403.78
2005,4,8,204834,2.4,1,2,5000.0
2017,3,12,36320,4.0,3,1,21248.42
2003,4,8,281598,4.5,4,1,5000.0
2021,2,20,126891,5.4,2,1,32045.3
2019,5,5,9244,5.0,4,1,39232.61
2006,4,4,257286,1.5,4,1,5000.0
2001,5,5,42949,2.5,4,1,9530.97
2007,1,18,151184,5.8,2,1,5000.0
2019,2,1,209147,2.1,2,1,20206.98
2013,1,7,161408,3.3,1,1,9481.33
2001,2,2,39428,1.5,2,2,11608.22
2021,2,2,34019,2.1,4,1,33869.26
2016,4,8,184822,4.3,4,2,13479.2
2003,2,1,51515,4.9,2,2,18209.68
2011,4,4,44915,5.8,3,1,17517.9
2009,3,16,294502,2.3,4,2,5000.0
2011,3,11,61328,5.1,4,1,17887.28
2019,5,3,216897,1.8,2,2,25637.95
2008,1,7,82096,4.0,4,1,8667.4
2010,2,2,233619,4.6,2,2,14568.87
2023,1,9,133947,1.5,2,2,19844.67
2007,3,12,188296,4.1,2,2,5000.0
2016,4,15,215811,2.9,1,1,11851.54
2009,5,10,155607,2.1,4,1,18064.94
2012,5,14,167095,3.0,4,2,17532.03
2005,4,15,132741,1.3,2,2,5000.0
2008,2,19,121537,4.3,1,1,13665.21
2004,5,10,163180,4.3,3,2,22263.88
2021,2,19,242748,2.5,2,1,23024.84
2013,3,16,268614,1.5,3,1,7326.58
2016,3,16,134874,5.5,1,1,15297.22
2015,4,4,247011,4.2,3,1,9672.61
2007,4,15,251319,5.1,4,2,5000.0
2003,1,18,18508,3.0,4,1,12959.45
2019,1,9,32057,3.9,4,1,28765.53
2009,5,3,203609,1.8,3,2,14700.08
2003,2,2,77540,2.5,3,1,20118.74
2019,1,17,197593,2.7,3,1,19089.84
2016,2,19,257939,3.0,1,1,14577.22
2011,2,1,64852,2.3,4,1,19190.44
2003,2,1,76266,5.3,2,1,16423.03
2017,2,20,277663,5.6,1,2,19373.71
2013,3,11,2607,3.2,4,1,24178.37
2015,2,20,127461,3.9,4,2,32045.7
2007,5,3,97470,3.8,2,1,15964.14
2020,4,8,106621,4.9,4,2,24524.89
2022,2,19,114319,2.5,2,1,27392.3
2017,1,9,11357,3.2,2,1,17858.65
2012,1,18,287582,4.3,3,1,12434.3
2014,4,4,9525,3.6,2,1,20281.98
2022,4,4,119975,2.4,1,2,20190.07
2012,4,15,248238,5.9,2,2,14608.17
2014,2,1,243771,4.5,3,1,24826.99
2006,5,3,31553,1.7,1,1,15382.23
2020,3,13,147255,3.9,2,2,18454.85
2010,1,18,69079,4.9,1,2,20344.6
2018,2,2,150998,2.7,4,1,28745.85
2018,4,6,249655,3.5,4,2,9736.13
2018,3,13,260053,4.3,4,2,17764.7
2011,4,8,192293,1.8,4,1,7857.49
2014,2,19,185876,2.6,3,2,27919.02
2018,2,2,137666,1.1,3,1,29232.62
2000,2,2,265013,6.0,3,2,12360.17
2010,2,2,21113,2.9,1,1,23554.83
2011,2,20,97881,3.7,4,2,28344.81
2019,3,12,30162,4.3,2,1,21947.03
2003,5,14,217689,1.1,1,1,5782.26
2023,3,16,12788,2.4,4,1,23362.73
2009,5,14,117044,5.8,2,2,20941.77
2006,4,8,57726,5.2,3,2,19491.97
2016,3,12,244121,4.7,3,2,14807.05
2018,2,1,289648,4.0,2,2,18058.4
2015,3,11,258591,3.5,3,2,16774.69
2015,3,16,285545,2.0,2,2,5000.0
2010,5,14,154186,3.0,4,2,23514.01
2002,1,9,209059,4.9,4,2,7785.39
2021,2,1,119205,3.7,3,2,40975.28
2016,3,12,209283,1.7,2,1,5126.88
2011,4,8,180375,3.5,4,2,6119.67
2004,4,6,30633,1.8,1,1,7002.85
2009,5,5,6496,4.8,4,2,27891.29
2009,1,18,191614,5.7,4,2,8588.86
2020,4,6,137941,2.3,3,1,19618.8
2022,3,13,193691,2.9,1,2,19014.58
2020,2,19,173225,3.7,4,1,29896.61
2010,4,15,218916,5.1,1,1,5000.0
2018,3,16,219570,4.4,1,2,18364.88
2006,5,14,150314,5.8,3,1,24669.29
2013,5,14,223378,4.4,4,1,18969.18
2010,4,15,231079,1.3,4,1,5000.0
2013,5,10,50321,4.9,1,2,25498.55
2003,1,18,100332,2.9,4,2,6243.81
2006,1,7,271751,1.0,2,1,5000.0
2008,5,10,81502,4.0,1,2,17306.08
2001,2,19,17145,2.0,4,1,9366.74
2006,4,15,41620,2.9,1,2,12359.23
2021,5,5,94023,4.5,4,2,35996.0
2007,2,20,31808,4.3,2,2,19203.97
2002,2,20,190964,4.6,4,1,9718.11
2023,2,19,271779,2.0,1,2,26691.79
2000,4,15,53097,2.8,2,1,5000.0
2019,2,20,293294,1.9,2,2,21643.43
2020,1,17,77860,4.8,2,1,18122.31
2012,2,20,12661,2.6,4,2,28591.2
2014,1,7,227394,2.7,2,1,5000.0
2017,2,19,134805,1.0,1,2,19354.62
2017,4,4,233285,3.0,1,2,15073.42
2017,1,18,202598,6.0,4,1,15178.67
2000,5,10,156992,5.8,4,2,14503.42
2006,3,13,232906,2.0,3,2,5000.0
2011,4,15,17899,3.5,3,2,20994.86
2007,1,17,22699,3.2,1,1,5000.0
2021,3,11,54443,3.2,3,1,23560.85
2001,5,3,224654,5.6,2,2,9268.47
2019,2,1,15822,1.1,1,1,29485.19
2014,4,4,34890,5.6,3,2,26785.88
2003,1,9,135903,2.4,3,2,5000.0
2013,3,12,53600,3.6,4,2,21575.22
2009,4,15,179768,5.3,3,1,13156.17
2020,5,14,240385,3.2,1,1,17265.25
2023,4,8,261352,4.9,4,2,26384.9
2013,4,8,66962,4.9,3,1,23724.54
2016,3,13,220607,4.7,3,1,15522.09
2002,4,8,278455,3.2,1,1,5000.0
2009,4,4,225320,1.4,3,2,5000.0
2018,5,3,104755,2.0,2,1,26650.28
2023,4,15,88273,2.4,4,1,25610.59
2011,1,17,163298,1.9,2,2,5000.0
2000,5,5,291642,3.8,1,2,5525.06
2013,1,17,132641,2.1,2,1,5597.69
2007,3,11,139719,3.0,4,2,6079.54
2002,5,3,99149,5.4,2,1,16656.62
2000,4,15,76057,2.6,4,2,5000.0
2020,3,12,113001,5.4,1,1,26773.15
2005,1,18,194162,1.8,2,1,5000.0
2002,2,1,252320,3.0,3,1,5594.1
2004,5,5,202132,4.6,3,2,19839.83
2023,5,10,258402,5.4,2,2,26918.75
2019,1,9,102300,3.3,1,2,19834.89
2000,1,18,34084,4.7,2,1,8525.62
2004,4,6,286,5.3,4,1,18258.79
2022,2,19,115374,4.4,1,2,36762.7
2014,3,11,122746,3.1,1,1,10788.53
2006,3,16,113128,5.3,3,2,19747.79
2020,3,13,257429,5.6,1,2,13032.12
2011,5,14,206553,1.5,2,1,11449.8
2003,4,8,201894,4.3,3,2,5000.0
2004,4,4,201868,1.1,3,1,5000.0
2007,1,7,216462,4.7,4,2,5000.0
2016,3,16,141641,1.1,4,2,15882.03
2002,5,10,202521,1.9,1,1,5000.0
2006,1,9,254205,1.4,4,1,5000.0
2002,1,7,16637,1.6,1,2,5000.0
2006,5,5,85385,5.3,1,2,21419.98
2022,3,11,255675,1.0,2,2,7463.16
2017,2,2,62370,3.7,2,1,29017.02
2013,3,16,97101,5.4,3,1,20126.76
2013,2,20,111171,3.9,4,2,31604.57
2017,5,5,34144,2.1,2,2,29521.92
2001,3,11,143284,3.8,4,1,5000.0
2017,1,9,215025,4.3,3,1,12314.79
2004,4,4,100404,2.6,4,2,5112.85
2001,1,17,9106,4.6,1,2,7965.1
2012,3,12,42010,4.7,2,1,19773.86
2016,5,3,47270,2.4,1,1,28449.35
2009,1,18,125216,1.4,4,2,11937.27
2022,1,7,15315,3.1,1,1,28303.0
2022,5,3,169666,3.8,4,2,33032.94
2023,3,16,157239,5.8,2,2,30145.3
2023,4,8,288749,2.2,4,2,13185.65
2006,4,8,123569,2.8,4,1,5000.0
2014,1,18,16987,5.2,2,2,24708.39
2017,5,5,232561,2.9,3,1,18580.33
2013,5,5,266369,4.0,1,1,16853.4
2019,4,4,252823,3.8,4,1,16693.73
2003,5,14,62574,3.0,2,2,18960.37
2020,5,5,136178,5.1,3,1,36315.97
2005,4,15,22149,4.0,3,2,15529.75
2017,3,16,128371,1.3,1,2,9449.89
2023,5,3,269517,4.3,2,2,27976.32
2007,1,7,6084,3.2,4,2,17570.12
2015,4,8,32543,3.0,3,2,25552.83
2020,2,2,289383,3.4,2,2,25501.2
2012,2,19,285375,5.2,4,1,17913.03
2021,4,8,1475,3.5,4,1,28215.96
2017,2,20,243241,5.9,3,1,24007.5
2011,2,19,97586,2.6,4,2,18974.71
2011,5,5,246217,4.9,4,2,17388.84
2012,4,4,104364,4.6,1,2,15105.23
2000,5,5,262784,1.8,4,2,5000.0
2009,1,7,88546,2.7,3,1,8450.42
2000,2,1,83551,4.9,3,2,23152.11
2002,4,6,213001,5.8,3,2,8282.87
2019,4,6,97106,4.1,4,2,21588.82
2004,2,20,17499,2.8,4,2,24031.61
2018,3,13,80163,2.1,3,2,27081.45
2007,2,1,31082,4.6,3,1,24532.02
2000,3,12,287989,2.3,2,2,5000.0
2023,2,19,228156,4.6,4,2,35703.62
2022,2,2,140930,5.0,1,2,30756.88
2007,5,14,85773,3.7,4,1,15436.52
2013,2,20,39387,4.8,1,1,24128.57
2002,3,11,37897,2.8,3,2,10149.03
2005,4,8,221292,3.4,4,1,5000.0
2001,4,8,232874,4.7,4,1,5000.0
2006,3,12,201131,3.5,1,2,5000.0
2005,1,9,3181,2.0,1,1,5000.0
2010,5,14,109365,2.1,2,2,17730.27
2021,5,5,74957,5.3,1,1,39558.97
2008,4,15,218696,1.4,2,1,5000.0
2009,4,4,25676,1.7,2,1,7190.86
2017,4,15,188318,1.7,2,1,12381.9
2015,4,4,96294,5.1,2,1,15747.1
2001,4,4,57159,2.0,2,1,5000.0
2023,5,3,235181,5.3,2,2,33948.37
2011,4,8,278097,1.5,4,1,5000.0
2022,3,11,262596,1.6,4,2,18784.29
2009,2,19,109862,4.4,3,1,19372.65
2002,1,7,61157,2.3,4,2,5000.0
2006,1,9,250252,2.1,2,2,5000.0
2015,2,20,133099,3.8,4,2,31303.06
2016,3,12,225925,3.2,4,2,9275.28
2021,4,8,6806,3.0,2,1,25856.23
2020,5,10,132580,5.0,1,1,33142.9
2015,3,12,117914,3.1,1,2,11205.69
2008,1,9,17901,4.1,4,2,17679.89
2005,3,12,166205,2.7,3,2,5000.0
2015,5,3,223947,1.1,2,2,18031.64
2012,1,17,8763,5.8,1,1,22123.23
2013,3,13,88584,2.8,1,2,13628.28
2014,2,20,181337,5.2,4,2,22414.44
2015,3,16,233606,5.3,2,1,10009.75
2005,4,4,46951,3.4,3,1,14150.59
2005,5,3,87950,1.7,3,2,13479.0
2008,2,20,101973,3.5,3,2,28540.23
2000,4,8,259476,2.8,3,2,5000.0
2022,4,4,237207,1.3,4,2,16337.75
2014,5,5,250416,2.9,3,2,25648.33
2011,2,2,50330,3.4,3,1,22370.83
2010,5,14,221645,4.3,3,1,22602.49
2023,3,11,274970,5.9,4,1,16313.49
2010,1,9,276058,3.0,1,2,5000.0
2003,5,5,219126,2.9,3,2,14390.14
2015,3,12,115704,5.8,2,2,20724.05
2018,1,17,238695,1.5,3,1,13968.27
2021,2,1,222232,3.3,4,1,29483.58
2000,3,13,170578,5.0,4,2,5000.0
2003,2,1,185209,4.5,2,2,7854.7
2009,4,4,177036,2.1,2,1,5000.0
2001,1,18,202301,2.8,4,2,5000.0
2007,4,8,165327,1.0,3,1,5000.0
2018,4,8,247504,3.6,2,1,7514.0
2019,5,14,259586,4.9,4,1,26849.53
2015,4,15,196869,2.4,2,2,5000.0
2000,2,1,282566,3.3,3,1,7394.24
2017,2,19,88777,5.1,4,1,35018.82
2008,4,4,106233,2.0,4,2,7978.55
2013,2,2,57811,4.5,4,1,31461.72
2018,1,18,295352,3.5,1,2,10888.02
2002,3,12,72081,3.7,1,1,5000.0
2021,1,9,232392,3.1,2,1,8864.12
2002,4,4,100966,1.5,3,1,5000.0
2000,5,10,14752,4.8,1,2,20081.33
2004,5,10,238329,4.6,2,1,12193.26
2002,4,6,115967,2.2,2,2,5000.0
2019,2,1,93395,2.5,2,1,30919.6
2011,5,3,257225,4.6,2,1,11290.21
2020,5,10,229060,6.0,3,1,28607.58
2017,3,13,118909,4.2,2,1,18092.82
2000,2,19,943,1.9,2,1,7451.39
2021,1,9,288294,1.3,4,2,8530.4
